rank,tier,name,mmr,points,wins,losses,played,winrate,age
5246,3,[吾皇大赦天下]MrCharles,3274,0,0,1,1,0.0%,10m
5256,3,腌辣椒,3273,1660,306,278,584,52.4%,23m
5256,3,酱油,3273,324,12,11,23,52.2%,2m
5256,2,炉石东哥,3273,38,6,3,9,66.7%,9m
5256,3,[老乱]衣小宽,3273,0,1,0,1,100.0%,20m
5256,3,mnkk,3273,0,1,0,1,100.0%,20m
5256,3,挥别笑留名,3273,30,1,1,2,50.0%,14m
5262,2,秋风瑟瑟,3272,1534,225,223,448,50.2%,14m
5262,2,bbbyong,3272,446,62,89,151,41.1%,11m
5262,3,两只老虎,3272,650,24,25,49,49.0%,6m
5262,3,白毛浮绿水,3272,342,15,12,27,55.6%,3m
5262,3,yazeroO,3272,370,13,11,24,54.2%,57m
5262,3,[魔虫教主万岁]saas,3272,174,7,3,10,70.0%,50m
5262,3,TheSense,3272,58,5,4,9,55.6%,3m
5262,3,神秘的车头,3272,30,2,0,2,100.0%,27m
5262,3,[TSOD]ToBeYYG,3272,30,2,1,3,66.7%,56m
5262,3,令人发笑的电脑,3272,30,2,2,4,50.0%,11m
5262,3,[灵兮]霜兮,3272,58,2,6,8,25.0%,52m
5262,3,[BTD]DeathMarshal,3272,0,1,0,1,100.0%,53m
5262,3,MagicZerg,3272,30,1,2,3,33.3%,4m
5262,3,Darknesscome,3272,0,0,5,5,0.0%,23m
5276,3,[歌者李仙姬]杀不完的机枪兵,3271,494,62,54,116,53.4%,24m
5276,3,[Borne]IIIIIIIIIIII,3271,949,39,36,75,52.0%,14m
5276,3,Dancer,3271,302,11,8,19,57.9%,7m
5276,1,玩别卡,3271,142,6,2,8,75.0%,15m
5276,3,或许你便是眼中人,3271,140,5,2,7,71.4%,29m
5276,1,llllllllllll,3271,158,4,4,8,50.0%,21m
5276,3,[霸气军团]David,3271,30,2,1,3,66.7%,52m
5276,1,Ylllllllllll,3271,0,2,1,3,66.7%,1h
5284,2,LoveGodZ,3270,1463,225,226,451,49.9%,55m
5284,3,在遇见你一次也好,3270,1206,62,19,81,76.5%,11m
5284,2,可爱小乖乖,3270,1334,48,62,110,43.6%,3m
5284,3,ZeroLinR,3270,656,32,32,64,50.0%,10m
5284,1,Carly,3270,284,12,9,21,57.1%,8m
5284,3,Darin,3270,210,7,12,19,36.8%,22m
5284,1,[清影无敌]不就是钱么,3270,0,4,1,5,80.0%,15m
5284,3,[ETG]SmileY,3270,114,4,6,10,40.0%,15m
5284,3,可以吗,3270,58,3,5,8,37.5%,3m
5284,3,[辩证法]徐政委遛弯,3270,86,3,7,10,30.0%,12m
5284,3,[TG1]ddzforever,3270,49,2,1,3,66.7%,30m
5284,3,[Icer]IIIIIIIIIIII,3270,0,1,0,1,100.0%,15m
5284,1,[WFFF]张学友,3270,94,1,1,2,50.0%,54m
5297,2,夜幕肆虐,3269,300,48,52,100,48.0%,56m
5297,3,TaeYeoN,3269,909,47,37,84,56.0%,14m
5297,3,[莫扎特]茜茜公主,3269,419,15,11,26,57.7%,28m
5297,3,slimeSB,3269,369,14,15,29,48.3%,15m
5297,3,李十七,3269,173,8,6,14,57.1%,25m
5297,3,Ring,3269,166,7,0,7,100.0%,56m
5297,3,BBLLLLC,3269,122,5,4,9,55.6%,28m
5297,3,老程,3269,58,3,0,3,100.0%,54m
5297,3,wangbababa,3269,97,2,1,3,66.7%,11m
5297,3,IIIIIIIIIIII,3269,0,1,0,1,100.0%,6m
5297,2,露娜,3269,91,1,2,3,33.3%,50m
5297,3,Light,3269,30,1,3,4,25.0%,22m
5297,1,[TPoR]dsy,3269,0,0,5,5,0.0%,22m
5310,3,花前月下暂相逢,3268,895,451,422,873,51.7%,13m
5310,2,Dark,3268,982,50,38,88,56.8%,14m
5310,3,[小小怪怪]夜月,3268,424,15,20,35,42.9%,21m
5310,3,周大胆,3268,142,5,5,10,50.0%,6m
5310,3,永远爱潇潇,3268,114,4,3,7,57.1%,11m
5310,1,[DPGsc2]IAsonu,3268,115,2,4,6,33.3%,6m
5310,3,[AX]大秦帝国,3268,30,1,2,3,33.3%,28m
5317,3,[GGES]REIKSGUARD,3267,910,37,31,68,54.4%,19m
5317,3,弗拉基米尔,3267,350,18,13,31,58.1%,19m
5317,3,[五十块的兄弟]skythrough,3267,264,10,8,18,55.6%,56m
5317,3,啦啦啦德玛西亚,3267,143,7,3,10,70.0%,2m
5317,2,invorker,3267,154,5,2,7,71.4%,18m
5317,3,[湖南工大]我是小白,3267,58,3,3,6,50.0%,52m
5317,3,[水晶的眼泪]练家子,3267,58,2,1,3,66.7%,14m
5317,3,慕晨,3267,30,1,1,2,50.0%,28m
5317,3,鬼奉孝,3267,30,1,2,3,33.3%,53m
5317,3,WDLN,3267,0,1,3,4,25.0%,2m
5317,3,king,3267,30,1,5,6,16.7%,3m
5317,3,Amaranth,3267,0,0,1,1,0.0%,13m
5317,3,天梯马保国,3267,0,0,4,4,0.0%,28m
5330,3,[六字母连体人]三酱,3266,1156,83,71,154,53.9%,8m
5330,3,[24K纯萌]龙龙,3266,406,48,40,88,54.5%,57m
5330,3,小萝莉没有熊,3266,295,12,2,14,85.7%,52m
5330,3,[通灵女孩]勇敢的狗子,3266,220,9,4,13,69.2%,53m
5330,3,IIIIIIII,3266,228,9,6,15,60.0%,25m
5330,3,[毒雨]自然选择号,3266,92,3,4,7,42.9%,50m
5330,3,[饭太稀]娜迦之泪,3266,0,1,0,1,100.0%,23m
5330,3,[四叶草]幻想天生,3266,0,1,0,1,100.0%,6m
5330,3,[送分大队]非坑才怪,3266,0,1,4,5,20.0%,3m
